Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Total,Date,Time,Payment,cogs,gross income,Rating,Month
B,Naypyitaw,Member,Female,Health and beauty,18.28,6,115.164,2019-07-12,02:39,Credit card,109.68,5.484,5.4,07
C,Yangon,Member,Male,Electronic accessories,79.75,2,167.475,2019-08-30,11:24,Cash,159.5,7.975,7.8,08
C,Naypyitaw,Member,Female,Sports and travel,22.23,9,210.0735,2019-09-04,20:30,Ewallet,200.07,10.0035,4.5,09
A,Mandalay,Member,Female,Fashion accessories,10.97,1,11.5185,2019-02-04,20:47,Ewallet,10.97,0.5485,8.9,02
B,Naypyitaw,Normal,Female,Electronic accessories,76.94,10,807.87,2019-10-27,09:15,Credit card,769.4,38.47,4.1,10
A,Naypyitaw,Member,Female,Electronic accessories,70.56,3,222.264,2019-10-07,19:01,Cash,211.68,10.584,9.2,10
A,Naypyitaw,Normal,Female,Food and beverages,26.54,2,55.734,2019-04-04,14:36,Credit card,53.08,2.654,4.3,04
A,Yangon,Member,Male,Home and lifestyle,21.56,3,67.914,2019-05-29,16:35,Ewallet,64.68,3.234,5.0,05
B,Yangon,Member,Male,Home and lifestyle,31.16,9,294.462,2019-02-03,16:18,Ewallet,280.44,14.022,8.4,02
B,Yangon,Normal,Female,Home and lifestyle,94.34,6,594.342,2019-06-19,21:10,Ewallet,566.04,28.302,7.0,06
B,Naypyitaw,Normal,Female,Fashion accessories,29.03,4,121.926,2019-08-19,20:18,Ewallet,116.12,5.806,9.5,08
C,Naypyitaw,Normal,Female,Home and lifestyle,32.71,3,103.0365,2019-09-22,21:49,Cash,98.13,4.9065,9.3,09
A,Yangon,Member,Male,Food and beverages,28.67,8,240.828,2019-11-30,03:35,Cash,229.36,11.468,5.5,11
A,Mandalay,Member,Female,Home and lifestyle,56.63,5,297.3075,2019-01-23,15:10,Credit card,283.15,14.1575,8.5,01
B,Mandalay,Member,Female,Sports and travel,59.65,5,313.1625,2019-07-13,22:54,Cash,298.25,14.9125,7.3,07
A,Naypyitaw,Normal,Male,Health and beauty,87.41,2,183.561,2019-05-01,08:51,Cash,174.82,8.741,4.3,05
A,Mandalay,Normal,Male,Fashion accessories,42.96,4,180.432,2019-12-20,20:17,Credit card,171.84,8.592,7.8,12
C,Mandalay,Member,Male,Fashion accessories,23.78,8,199.752,2019-03-02,06:26,Ewallet,190.24,9.512,9.9,03
A,Yangon,Member,Female,Sports and travel,96.56,4,405.552,2019-12-06,18:01,Credit card,386.24,19.312,4.5,12
C,Naypyitaw,Normal,Male,Sports and travel,30.91,6,194.733,2019-07-07,05:44,Cash,185.46,9.273,5.2,07
A,Yangon,Normal,Female,Health and beauty,32.1,1,33.705,2019-09-02,16:10,Ewallet,32.1,1.605,5.7,09
A,Naypyitaw,Member,Female,Health and beauty,77.31,7,568.2285,2019-10-23,04:05,Credit card,541.17,27.0585,8.7,10
C,Naypyitaw,Member,Female,Home and lifestyle,46.93,9,443.4885,2019-05-19,04:33,Ewallet,422.37,21.1185,5.4,05
C,Naypyitaw,Normal,Male,Electronic accessories,70.74,2,148.554,2019-10-24,02:01,Credit card,141.48,7.074,6.9,10
A,Naypyitaw,Normal,Female,Home and lifestyle,38.18,4,160.356,2019-04-03,15:40,Cash,152.72,7.636,6.7,04
B,Naypyitaw,Member,Male,Sports and travel,52.57,3,165.5955,2019-09-27,08:58,Credit card,157.71,7.8855,9.7,09
A,Yangon,Normal,Male,Health and beauty,31.22,3,98.343,2019-09-19,01:11,Ewallet,93.66,4.683,9.0,09
B,Yangon,Normal,Male,Electronic accessories,49.88,8,418.992,2019-03-11,10:39,Ewallet,399.04,19.952,5.4,03
A,Mandalay,Member,Female,Food and beverages,70.68,5,371.07,2019-04-05,15:43,Cash,353.4,17.67,8.1,04
A,Mandalay,Member,Female,Home and lifestyle,87.5,4,367.5,2019-11-08,02:40,Credit card,350.0,17.5,8.0,11
B,Mandalay,Normal,Male,Food and beverages,15.2,10,159.6,2019-12-24,11:05,Credit card,152.0,7.6,9.3,12
B,Naypyitaw,Normal,Female,Electronic accessories,36.85,1,38.6925,2019-01-17,15:04,Credit card,36.85,1.8425,9.7,01
A,Yangon,Normal,Female,Health and beauty,62.8,10,659.4,2019-10-30,04:40,Credit card,628.0,31.4,7.3,10
A,Yangon,Normal,Female,Electronic accessories,76.47,9,722.6415,2019-01-18,04:18,Credit card,688.23,34.4115,5.3,01
A,Mandalay,Normal,Female,Electronic accessories,71.41,7,524.8635,2019-09-27,00:19,Ewallet,499.87,24.9935,7.4,09
B,Yangon,Normal,Male,Electronic accessories,13.76,1,14.448,2019-10-21,12:52,Ewallet,13.76,0.688,8.5,10
A,Mandalay,Normal,Female,Electronic accessories,68.34,1,71.757,2019-02-17,04:33,Credit card,68.34,3.417,7.4,02
A,Naypyitaw,Member,Male,Fashion accessories,82.32,9,777.924,2019-09-11,18:02,Ewallet,740.88,37.044,5.6,09
B,Naypyitaw,Member,Female,Health and beauty,85.37,3,268.9155,2019-02-20,03:52,Ewallet,256.11,12.8055,8.2,02
A,Mandalay,Normal,Female,Fashion accessories,74.82,2,157.122,2019-08-10,17:23,Credit card,149.64,7.482,4.5,08
C,Yangon,Normal,Female,Food and beverages,11.54,5,60.585,2019-04-11,23:16,Ewallet,57.7,2.885,6.8,04
A,Mandalay,Member,Female,Food and beverages,67.64,5,355.11,2019-09-15,20:43,Ewallet,338.2,16.91,4.4,09
A,Yangon,Member,Female,Food and beverages,96.36,8,809.424,2019-01-15,01:09,Credit card,770.88,38.544,7.8,01
A,Naypyitaw,Member,Female,Food and beverages,56.14,8,471.576,2019-03-18,21:09,Cash,449.12,22.456,4.4,03
B,Mandalay,Member,Female,Electronic accessories,66.14,4,277.788,2019-01-06,13:40,Ewallet,264.56,13.228,9.7,01
A,Mandalay,Member,Female,Fashion accessories,27.48,4,115.416,2019-12-30,18:30,Credit card,109.92,5.496,4.3,12
C,Yangon,Normal,Female,Home and lifestyle,35.89,2,75.369,2019-05-08,06:36,Credit card,71.78,3.589,4.0,05
C,Naypyitaw,Member,Male,Electronic accessories,79.14,5,415.485,2019-11-27,03:16,Credit card,395.7,19.785,4.2,11
C,Mandalay,Normal,Female,Health and beauty,98.13,3,309.1095,2019-10-29,22:21,Credit card,294.39,14.7195,5.3,10
A,Naypyitaw,Normal,Female,Home and lifestyle,67.07,10,704.235,2019-07-10,14:33,Cash,670.7,33.535,8.6,07
A,Naypyitaw,Normal,Male,Sports and travel,92.41,3,291.0915,2019-08-12,05:26,Cash,277.23,13.8615,8.4,08
C,Naypyitaw,Normal,Male,Fashion accessories,20.68,3,65.142,2019-07-25,19:41,Credit card,62.04,3.102,7.0,07
B,Mandalay,Normal,Male,Electronic accessories,18.29,4,76.818,2019-02-01,14:33,Cash,73.16,3.658,5.7,02
B,Mandalay,Normal,Male,Health and beauty,77.46,2,162.666,2019-01-22,20:26,Ewallet,154.92,7.746,9.2,01
B,Mandalay,Member,Female,Electronic accessories,73.67,2,154.707,2019-08-24,09:35,Credit card,147.34,7.367,6.2,08
A,Naypyitaw,Normal,Male,Fashion accessories,56.35,5,295.8375,2019-08-24,05:19,Cash,281.75,14.0875,7.6,08
C,Yangon,Normal,Female,Electronic accessories,62.29,6,392.427,2019-05-26,06:25,Cash,373.74,18.687,5.1,05
C,Mandalay,Member,Female,Sports and travel,51.31,6,323.253,2019-09-15,02:13,Ewallet,307.86,15.393,7.5,09
A,Yangon,Member,Male,Sports and travel,94.33,7,693.3255,2019-11-16,14:54,Cash,660.31,33.0155,7.0,11
B,Yangon,Member,Male,Health and beauty,67.05,8,563.22,2019-12-06,14:17,Cash,536.4,26.82,5.9,12
C,Naypyitaw,Normal,Male,Sports and travel,61.55,5,323.1375,2019-12-06,09:34,Cash,307.75,15.3875,5.4,12
C,Mandalay,Normal,Male,Home and lifestyle,17.35,7,127.5225,2019-09-08,18:33,Credit card,121.45,6.0725,7.0,09
B,Mandalay,Member,Male,Fashion accessories,54.53,1,57.2565,2019-07-05,16:01,Ewallet,54.53,2.7265,9.1,07
A,Yangon,Normal,Female,Home and lifestyle,72.43,4,304.206,2019-08-18,09:25,Credit card,289.72,14.486,9.6,08
A,Mandalay,Member,Female,Food and beverages,28.4,3,89.46,2019-06-12,18:31,Ewallet,85.2,4.26,9.2,06
C,Mandalay,Member,Male,Electronic accessories,18.84,5,98.91,2019-03-22,12:04,Cash,94.2,4.71,10.0,03
C,Naypyitaw,Member,Male,Food and beverages,35.38,1,37.149,2019-11-07,00:21,Ewallet,35.38,1.769,9.1,11
A,Mandalay,Normal,Male,Sports and travel,69.45,3,218.7675,2019-09-23,00:01,Ewallet,208.35,10.4175,9.8,09
C,Naypyitaw,Normal,Female,Home and lifestyle,13.28,1,13.944,2019-02-21,09:24,Cash,13.28,0.664,5.2,02
C,Mandalay,Member,Male,Fashion accessories,77.39,8,650.076,2019-06-21,01:56,Credit card,619.12,30.956,4.1,06
A,Yangon,Normal,Male,Food and beverages,28.74,7,211.239,2019-11-04,21:41,Credit card,201.18,10.059,5.9,11
B,Yangon,Normal,Male,Fashion accessories,80.51,8,676.284,2019-11-13,00:15,Cash,644.08,32.204,4.0,11
C,Yangon,Normal,Female,Electronic accessories,13.55,1,14.2275,2019-06-15,05:11,Credit card,13.55,0.6775,4.9,06
C,Naypyitaw,Normal,Male,Food and beverages,60.14,1,63.147,2019-02-17,03:12,Credit card,60.14,3.007,9.9,02
C,Naypyitaw,Member,Male,Sports and travel,80.8,7,593.88,2019-06-08,13:36,Credit card,565.6,28.28,9.1,06
C,Yangon,Normal,Female,Food and beverages,27.71,3,87.2865,2019-12-05,02:00,Credit card,83.13,4.1565,8.9,12
A,Naypyitaw,Normal,Male,Electronic accessories,63.25,4,265.65,2019-08-26,12:54,Credit card,253.0,12.65,4.7,08
C,Yangon,Member,Male,Sports and travel,12.34,7,90.699,2019-01-27,14:41,Cash,86.38,4.319,7.7,01
A,Mandalay,Member,Female,Home and lifestyle,20.77,2,43.617,2019-12-17,12:25,Ewallet,41.54,2.077,5.5,12
C,Naypyitaw,Normal,Male,Home and lifestyle,22.57,2,47.397,2019-07-30,10:35,Ewallet,45.14,2.257,6.4,07
A,Naypyitaw,Member,Male,Health and beauty,34.97,2,73.437,2019-09-15,23:26,Cash,69.94,3.497,9.4,09
B,Naypyitaw,Member,Male,Sports and travel,29.33,6,184.779,2019-04-17,04:10,Cash,175.98,8.799,6.7,04
B,Mandalay,Member,Female,Fashion accessories,79.57,4,334.194,2019-10-30,06:20,Credit card,318.28,15.914,7.2,10
C,Yangon,Member,Female,Home and lifestyle,45.34,5,238.035,2019-04-12,18:08,Ewallet,226.7,11.335,7.0,04
C,Yangon,Normal,Male,Fashion accessories,99.71,8,837.564,2019-02-13,01:10,Cash,797.68,39.884,7.0,02
B,Mandalay,Normal,Male,Electronic accessories,89.88,3,283.122,2019-09-04,07:28,Cash,269.64,13.482,4.9,09
C,Mandalay,Normal,Male,Health and beauty,88.58,10,930.09,2019-05-03,15:47,Credit card,885.8,44.29,5.7,05
C,Mandalay,Member,Male,Fashion accessories,29.44,2,61.824,2019-08-15,05:52,Credit card,58.88,2.944,5.3,08
C,Naypyitaw,Normal,Male,Sports and travel,87.9,3,276.885,2019-02-15,10:52,Ewallet,263.7,13.185,6.3,02
C,Mandalay,Member,Female,Health and beauty,81.96,3,258.174,2019-04-17,09:04,Credit card,245.88,12.294,7.9,04
A,Yangon,Normal,Male,Food and beverages,68.98,5,362.145,2019-01-31,01:50,Credit card,344.9,17.245,9.9,01
B,Yangon,Normal,Female,Fashion accessories,73.53,7,540.4455,2019-09-08,19:52,Ewallet,514.71,25.7355,5.9,09
A,Naypyitaw,Member,Female,Electronic accessories,71.62,3,225.603,2019-02-06,18:53,Ewallet,214.86,10.743,9.5,02
A,Mandalay,Normal,Female,Fashion accessories,41.95,1,44.0475,2019-08-07,15:17,Ewallet,41.95,2.0975,6.4,08
A,Mandalay,Normal,Female,Electronic accessories,71.21,3,224.3115,2019-09-06,03:53,Credit card,213.63,10.6815,5.7,09
C,Yangon,Member,Female,Health and beauty,97.36,8,817.824,2019-03-24,10:58,Ewallet,778.88,38.944,6.1,03
A,Naypyitaw,Member,Female,Home and lifestyle,21.37,4,89.754,2019-07-21,16:41,Ewallet,85.48,4.274,4.1,07
B,Mandalay,Normal,Female,Fashion accessories,49.6,2,104.16,2019-12-20,22:47,Credit card,99.2,4.96,9.9,12
A,Yangon,Normal,Female,Health and beauty,88.65,2,186.165,2019-11-02,07:47,Cash,177.3,8.865,8.8,11
B,Mandalay,Member,Male,Food and beverages,99.9,9,944.055,2019-05-22,13:04,Cash,899.1,44.955,6.3,05
B,Yangon,Member,Female,Fashion accessories,81.67,6,514.521,2019-01-02,18:24,Credit card,490.02,24.501,8.0,01
A,Mandalay,Member,Male,Health and beauty,44.19,5,231.9975,2019-02-26,16:53,Cash,220.95,11.0475,5.7,02
A,Yangon,Member,Female,Sports and travel,74.72,7,549.192,2019-11-05,19:25,Credit card,523.04,26.152,9.8,11
A,Naypyitaw,Member,Female,Fashion accessories,56.1,6,353.43,2019-02-20,03:03,Credit card,336.6,16.83,7.0,02
C,Mandalay,Member,Male,Electronic accessories,76.1,9,719.145,2019-08-25,22:15,Cash,684.9,34.245,6.4,08
A,Mandalay,Normal,Male,Fashion accessories,42.58,10,447.09,2019-10-02,01:27,Cash,425.8,21.29,5.9,10
B,Yangon,Member,Male,Health and beauty,58.52,10,614.46,2019-05-20,20:58,Cash,585.2,29.26,6.2,05
B,Mandalay,Member,Female,Home and lifestyle,76.97,2,161.637,2019-04-10,16:35,Ewallet,153.94,7.697,6.0,04
A,Mandalay,Normal,Male,Home and lifestyle,15.8,9,149.31,2019-05-28,02:24,Ewallet,142.2,7.11,6.0,05
B,Naypyitaw,Normal,Male,Electronic accessories,71.43,4,300.006,2019-05-18,04:22,Cash,285.72,14.286,8.3,05
A,Naypyitaw,Member,Male,Fashion accessories,22.34,5,117.285,2019-12-02,18:49,Cash,111.7,5.585,4.7,12
A,Mandalay,Member,Female,Fashion accessories,21.58,10,226.59,2019-11-12,14:22,Ewallet,215.8,10.79,4.4,11
B,Mandalay,Member,Male,Health and beauty,97.71,4,410.382,2019-06-04,19:45,Cash,390.84,19.542,9.2,06
B,Naypyitaw,Member,Female,Fashion accessories,98.86,9,934.227,2019-03-19,16:10,Credit card,889.74,44.487,6.8,03
A,Yangon,Normal,Female,Electronic accessories,82.68,9,781.326,2019-08-23,14:22,Credit card,744.12,37.206,4.8,08
C,Mandalay,Member,Male,Fashion accessories,86.28,5,452.97,2019-02-07,13:55,Cash,431.4,21.57,6.3,02
A,Yangon,Member,Male,Health and beauty,42.58,9,402.381,2019-11-12,20:20,Credit card,383.22,19.161,7.2,11
A,Naypyitaw,Normal,Male,Home and lifestyle,73.99,4,310.758,2019-07-11,09:40,Credit card,295.96,14.798,4.0,07
B,Naypyitaw,Normal,Female,Fashion accessories,84.5,8,709.8,2019-03-23,10:04,Credit card,676.0,33.8,9.6,03
B,Yangon,Member,Male,Sports and travel,56.29,1,59.1045,2019-07-28,23:14,Ewallet,56.29,2.8145,5.9,07
C,Naypyitaw,Member,Female,Health and beauty,77.73,8,652.932,2019-10-08,20:39,Credit card,621.84,31.092,9.3,10
A,Naypyitaw,Member,Male,Food and beverages,20.75,4,87.15,2019-10-09,21:50,Ewallet,83.0,4.15,4.1,10
C,Yangon,Member,Female,Food and beverages,18.21,7,133.8435,2019-03-18,01:19,Cash,127.47,6.3735,7.0,03
C,Yangon,Member,Female,Electronic accessories,44.58,7,327.663,2019-05-20,00:26,Credit card,312.06,15.603,8.6,05
B,Yangon,Normal,Female,Food and beverages,71.3,10,748.65,2019-03-14,02:11,Ewallet,713.0,35.65,6.8,03
C,Mandalay,Normal,Male,Sports and travel,28.27,4,118.734,2019-02-27,15:06,Cash,113.08,5.654,7.6,02
C,Naypyitaw,Normal,Male,Home and lifestyle,14.43,4,60.606,2019-06-22,18:05,Cash,57.72,2.886,6.8,06
A,Naypyitaw,Member,Male,Sports and travel,36.37,10,381.885,2019-02-13,14:23,Cash,363.7,18.185,6.2,02
A,Naypyitaw,Normal,Male,Sports and travel,22.96,10,241.08,2019-03-17,02:37,Ewallet,229.6,11.48,8.3,03
C,Mandalay,Member,Male,Home and lifestyle,94.27,7,692.8845,2019-11-09,09:15,Ewallet,659.89,32.9945,8.6,11
B,Yangon,Normal,Male,Electronic accessories,69.29,2,145.509,2019-08-24,05:21,Ewallet,138.58,6.929,7.9,08
C,Mandalay,Normal,Female,Health and beauty,48.91,1,51.3555,2019-07-01,17:55,Cash,48.91,2.4455,4.7,07
C,Mandalay,Member,Female,Home and lifestyle,10.61,5,55.7025,2019-06-06,21:35,Credit card,53.05,2.6525,6.2,06
A,Mandalay,Member,Female,Health and beauty,38.28,3,120.582,2019-11-04,19:14,Credit card,114.84,5.742,8.8,11
C,Mandalay,Normal,Male,Home and lifestyle,49.19,6,309.897,2019-07-03,23:41,Credit card,295.14,14.757,9.2,07
B,Naypyitaw,Normal,Female,Health and beauty,14.01,7,102.9735,2019-12-28,05:00,Ewallet,98.07,4.9035,4.6,12
A,Yangon,Normal,Male,Electronic accessories,48.72,3,153.468,2019-05-01,19:22,Credit card,146.16,7.308,6.7,05
A,Naypyitaw,Normal,Male,Health and beauty,15.91,3,50.1165,2019-10-31,06:07,Credit card,47.73,2.3865,6.7,10
A,Yangon,Normal,Female,Sports and travel,97.8,10,1026.9,2019-03-30,19:21,Ewallet,978.0,48.9,5.2,03
B,Yangon,Member,Male,Health and beauty,74.59,8,626.556,2019-06-22,09:21,Ewallet,596.72,29.836,7.6,06
B,Mandalay,Member,Male,Sports and travel,78.23,6,492.849,2019-12-08,15:35,Cash,469.38,23.469,6.5,12
C,Naypyitaw,Member,Male,Home and lifestyle,19.83,1,20.8215,2019-12-24,22:50,Credit card,19.83,0.9915,7.2,12
B,Mandalay,Normal,Female,Food and beverages,23.15,9,218.7675,2019-04-22,06:03,Cash,208.35,10.4175,7.9,04
A,Naypyitaw,Member,Male,Fashion accessories,31.69,9,299.4705,2019-04-24,03:54,Ewallet,285.21,14.2605,5.5,04
A,Naypyitaw,Member,Female,Health and beauty,32.32,2,67.872,2019-12-28,17:59,Ewallet,64.64,3.232,7.3,12
C,Mandalay,Member,Female,Health and beauty,93.12,4,391.104,2019-08-02,15:59,Credit card,372.48,18.624,6.3,08
A,Naypyitaw,Normal,Female,Sports and travel,48.3,7,355.005,2019-03-27,19:41,Cash,338.1,16.905,4.0,03
C,Mandalay,Member,Female,Fashion accessories,25.57,2,53.697,2019-03-30,19:09,Cash,51.14,2.557,7.6,03
A,Mandalay,Normal,Female,Food and beverages,17.17,1,18.0285,2019-12-09,23:29,Cash,17.17,0.8585,9.1,12
A,Yangon,Member,Male,Sports and travel,51.43,3,162.0045,2019-12-14,01:49,Ewallet,154.29,7.7145,9.2,12
A,Mandalay,Normal,Female,Health and beauty,10.55,4,44.31,2019-11-01,05:21,Ewallet,42.2,2.11,5.6,11
B,Mandalay,Member,Female,Fashion accessories,17.75,7,130.4625,2019-03-01,12:42,Ewallet,124.25,6.2125,6.8,03
C,Naypyitaw,Member,Male,Home and lifestyle,54.53,9,515.3085,2019-10-08,09:44,Cash,490.77,24.5385,5.2,10
B,Yangon,Member,Male,Electronic accessories,74.34,7,546.399,2019-07-20,04:16,Ewallet,520.38,26.019,9.5,07
A,Naypyitaw,Normal,Female,Home and lifestyle,31.04,10,325.92,2019-12-11,18:14,Ewallet,310.4,15.52,4.6,12
B,Naypyitaw,Normal,Male,Home and lifestyle,26.0,7,191.1,2019-03-29,00:47,Ewallet,182.0,9.1,4.1,03
C,Naypyitaw,Normal,Male,Health and beauty,81.57,9,770.8365,2019-05-04,02:50,Credit card,734.13,36.7065,6.5,05
A,Naypyitaw,Normal,Male,Sports and travel,19.55,4,82.11,2019-07-27,04:49,Cash,78.2,3.91,6.6,07
B,Mandalay,Normal,Male,Home and lifestyle,72.79,7,535.0065,2019-05-23,12:37,Credit card,509.53,25.4765,7.3,05
C,Mandalay,Normal,Male,Home and lifestyle,73.1,4,307.02,2019-02-08,16:44,Cash,292.4,14.62,7.7,02
C,Naypyitaw,Member,Female,Sports and travel,42.4,9,400.68,2019-12-21,23:56,Credit card,381.6,19.08,9.8,12
A,Mandalay,Member,Male,Sports and travel,40.17,5,210.8925,2019-07-04,18:20,Credit card,200.85,10.0425,9.6,07
C,Mandalay,Normal,Male,Food and beverages,79.76,8,669.984,2019-09-28,22:39,Cash,638.08,31.904,9.5,09
B,Mandalay,Normal,Female,Food and beverages,55.93,5,293.6325,2019-05-31,13:54,Ewallet,279.65,13.9825,6.5,05
A,Yangon,Member,Female,Electronic accessories,67.85,7,498.6975,2019-01-31,13:11,Cash,474.95,23.7475,7.7,01
A,Naypyitaw,Normal,Female,Fashion accessories,19.82,4,83.244,2019-04-26,22:26,Ewallet,79.28,3.964,9.6,04
B,Yangon,Normal,Female,Sports and travel,27.16,7,199.626,2019-06-18,20:15,Cash,190.12,9.506,7.5,06
A,Yangon,Normal,Female,Health and beauty,77.7,3,244.755,2019-07-26,18:43,Ewallet,233.1,11.655,5.2,07
B,Naypyitaw,Normal,Female,Fashion accessories,79.46,9,750.897,2019-11-08,15:19,Cash,715.14,35.757,4.7,11
B,Yangon,Member,Female,Fashion accessories,51.15,8,429.66,2019-11-04,02:28,Credit card,409.2,20.46,4.9,11
A,Mandalay,Member,Female,Sports and travel,34.36,2,72.156,2019-10-20,19:41,Cash,68.72,3.436,8.2,10
A,Mandalay,Member,Male,Health and beauty,99.33,7,730.0755,2019-12-23,23:06,Ewallet,695.31,34.7655,4.1,12
C,Mandalay,Member,Male,Health and beauty,73.51,6,463.113,2019-04-15,16:32,Cash,441.06,22.053,9.9,04
C,Yangon,Normal,Female,Home and lifestyle,98.72,9,932.904,2019-07-18,04:23,Ewallet,888.48,44.424,7.5,07
A,Mandalay,Normal,Female,Fashion accessories,78.39,7,576.1665,2019-11-13,20:15,Cash,548.73,27.4365,9.5,11
C,Mandalay,Normal,Female,Food and beverages,34.87,7,256.2945,2019-01-26,11:53,Credit card,244.09,12.2045,6.2,01
A,Naypyitaw,Normal,Female,Sports and travel,17.22,9,162.729,2019-11-11,11:10,Cash,154.98,7.749,5.2,11
C,Naypyitaw,Member,Female,Food and beverages,28.74,8,241.416,2019-12-19,07:44,Credit card,229.92,11.496,7.2,12
C,Mandalay,Member,Male,Sports and travel,72.56,1,76.188,2019-05-10,17:08,Credit card,72.56,3.628,8.8,05
C,Yangon,Normal,Male,Sports and travel,16.77,8,140.868,2019-01-15,08:13,Ewallet,134.16,6.708,7.5,01
C,Naypyitaw,Normal,Male,Fashion accessories,10.38,5,54.495,2019-03-25,03:30,Credit card,51.9,2.595,5.6,03
A,Yangon,Normal,Male,Health and beauty,21.91,7,161.0385,2019-04-20,06:14,Credit card,153.37,7.6685,9.9,04
C,Yangon,Member,Female,Sports and travel,59.68,3,187.992,2019-06-10,14:26,Cash,179.04,8.952,9.6,06
A,Yangon,Normal,Female,Fashion accessories,13.08,10,137.34,2019-03-01,09:47,Ewallet,130.8,6.54,4.8,03
C,Naypyitaw,Member,Female,Health and beauty,66.5,5,349.125,2019-05-08,19:21,Ewallet,332.5,16.625,6.0,05
C,Mandalay,Normal,Male,Electronic accessories,37.31,2,78.351,2019-05-23,06:01,Cash,74.62,3.731,5.5,05
C,Yangon,Normal,Female,Food and beverages,24.26,9,229.257,2019-11-03,23:41,Credit card,218.34,10.917,4.8,11
B,Mandalay,Normal,Male,Food and beverages,85.86,3,270.459,2019-02-19,00:41,Ewallet,257.58,12.879,6.5,02
A,Naypyitaw,Member,Female,Food and beverages,87.32,3,275.058,2019-07-28,12:39,Ewallet,261.96,13.098,6.0,07
C,Yangon,Member,Female,Sports and travel,36.11,3,113.7465,2019-08-11,08:17,Ewallet,108.33,5.4165,7.6,08
A,Mandalay,Normal,Male,Electronic accessories,12.16,10,127.68,2019-02-28,10:07,Credit card,121.6,6.08,8.3,02
C,Naypyitaw,Normal,Female,Fashion accessories,58.82,1,61.761,2019-09-21,02:07,Credit card,58.82,2.941,4.9,09
C,Mandalay,Normal,Female,Sports and travel,90.5,6,570.15,2019-09-22,10:58,Credit card,543.0,27.15,9.2,09
A,Mandalay,Normal,Male,Health and beauty,53.97,6,340.011,2019-05-12,23:18,Ewallet,323.82,16.191,6.4,05
B,Naypyitaw,Member,Female,Health and beauty,58.06,2,121.926,2019-04-19,12:37,Cash,116.12,5.806,4.9,04
C,Mandalay,Normal,Male,Food and beverages,37.96,5,199.29,2019-01-07,21:08,Credit card,189.8,9.49,9.4,01
A,Naypyitaw,Member,Female,Fashion accessories,48.15,8,404.46,2019-09-23,09:07,Cash,385.2,19.26,8.3,09
A,Naypyitaw,Normal,Female,Home and lifestyle,62.42,7,458.787,2019-08-13,07:10,Credit card,436.94,21.847,4.7,08
C,Naypyitaw,Member,Male,Health and beauty,81.08,3,255.402,2019-01-14,20:11,Credit card,243.24,12.162,9.2,01
A,Naypyitaw,Normal,Female,Food and beverages,25.53,5,134.0325,2019-01-06,22:27,Cash,127.65,6.3825,8.0,01
B,Naypyitaw,Normal,Male,Health and beauty,91.58,3,288.477,2019-03-26,22:36,Ewallet,274.74,13.737,9.4,03
C,Mandalay,Normal,Male,Home and lifestyle,44.75,3,140.9625,2019-08-24,02:15,Ewallet,134.25,6.7125,5.5,08
B,Naypyitaw,Member,Male,Health and beauty,46.63,5,244.8075,2019-08-08,11:46,Ewallet,233.15,11.6575,4.5,08
A,Yangon,Member,Male,Fashion accessories,70.57,1,74.0985,2019-01-19,02:01,Credit card,70.57,3.5285,5.3,01
C,Mandalay,Member,Male,Food and beverages,18.96,3,59.724,2019-02-14,23:07,Cash,56.88,2.844,8.5,02
B,Naypyitaw,Member,Male,Food and beverages,94.55,10,992.775,2019-08-16,15:08,Ewallet,945.5,47.275,4.6,08
A,Naypyitaw,Member,Female,Electronic accessories,23.95,7,176.0325,2019-11-06,19:40,Ewallet,167.65,8.3825,6.2,11
B,Yangon,Member,Female,Food and beverages,56.67,8,476.028,2019-04-28,23:21,Cash,453.36,22.668,7.3,04
B,Naypyitaw,Normal,Female,Food and beverages,35.3,8,296.52,2019-08-03,09:42,Ewallet,282.4,14.12,4.5,08
A,Yangon,Normal,Male,Sports and travel,53.91,9,509.4495,2019-06-30,15:09,Credit card,485.19,24.2595,4.5,06
A,Yangon,Normal,Female,Health and beauty,27.77,3,87.4755,2019-12-15,11:02,Credit card,83.31,4.1655,7.0,12
C,Yangon,Member,Female,Home and lifestyle,35.23,4,147.966,2019-02-08,19:50,Credit card,140.92,7.046,7.7,02
B,Yangon,Normal,Male,Food and beverages,94.79,1,99.5295,2019-03-08,17:25,Credit card,94.79,4.7395,9.6,03
A,Mandalay,Normal,Male,Food and beverages,24.12,5,126.63,2019-02-09,12:42,Credit card,120.6,6.03,5.9,02
C,Yangon,Normal,Male,Home and lifestyle,32.64,10,342.72,2019-02-01,09:04,Ewallet,326.4,16.32,9.1,02
C,Yangon,Member,Female,Food and beverages,42.05,7,309.0675,2019-05-04,22:57,Ewallet,294.35,14.7175,8.0,05
A,Naypyitaw,Normal,Female,Home and lifestyle,98.88,6,622.944,2019-01-22,02:30,Cash,593.28,29.664,6.5,01
C,Yangon,Normal,Female,Fashion accessories,10.5,5,55.125,2019-11-03,13:45,Cash,52.5,2.625,9.6,11
C,Naypyitaw,Member,Male,Electronic accessories,70.83,5,371.8575,2019-10-01,23:55,Credit card,354.15,17.7075,8.2,10
A,Naypyitaw,Normal,Female,Sports and travel,25.7,5,134.925,2019-07-03,09:24,Cash,128.5,6.425,7.7,07
